Player,GP,G,A,PTS,SH,SH%,PPG,SHG,BLK,Points/Game
"Catalano, Christian",17,6,7,13,45,0.133,2,0,5,0.7647058823529411
"Isabelle, Simon",17,4,7,11,28,0.143,0,1,14,0.6470588235294118
"Brimmer, Austin",17,5,5,10,23,0.217,1,0,5,0.5882352941176471
"Konyen, Evan",16,4,5,9,28,0.143,1,0,2,0.5625
"Wigle, Zach",17,4,5,9,23,0.174,1,0,14,0.5294117647058824
"Stewart, Crossley",17,1,8,9,19,0.053,0,0,9,0.5294117647058824
"Allen, Tristan",17,0,9,9,17,0.0,0,0,17,0.5294117647058824
"Mahan, Tyler",17,6,2,8,28,0.214,0,0,12,0.47058823529411764
"Elfering, Caleb",17,4,4,8,24,0.167,0,0,7,0.47058823529411764
"Moore, William",17,3,4,7,32,0.094,1,0,12,0.4117647058823529
"Roger, Ben",16,1,5,6,16,0.063,0,0,14,0.375
"Croucher, Mason",17,1,4,5,37,0.027,0,0,15,0.29411764705882354
"Cobetto-Roy, Mathieu",10,1,3,4,18,0.056,0,0,4,0.4
"Skalos, Boris",12,1,3,4,17,0.059,0,0,7,0.3333333333333333
"Jacques, Philippe",14,2,1,3,15,0.133,0,0,8,0.21428571428571427
"Whyte, Ty",11,1,1,2,13,0.077,0,0,4,0.18181818181818182
"Jeffery, Adam",8,0,2,2,5,0.0,0,0,5,0.25
"Bajzer, Camden",11,1,0,1,10,0.1,0,0,7,0.09090909090909091
"Williams, Ryan",13,1,0,1,8,0.125,0,0,9,0.07692307692307693
"Reinhart, Brock",12,0,1,1,5,0.0,0,0,10,0.08333333333333333
"Scott, Kevin",15,0,1,1,11,0.0,0,0,24,0.06666666666666667
"Blom, Gustav",9,0,0,0,7,0.0,0,0,4,0.0